species_valid_name	species_code	collection_era	collection_period	collection_site_lot	collection_site_individuals	num_records
Ambassis buruensis	NA	Albatross	Albatross	Cebu_Market	Cebu_Market	55
Ambassis_buruensis	Abu	Albatross	Albatross	Dupon_Bay	Port_Dupon	42
Ambassis_buruensis	Abu	Contemporary	Contemporary	Pandanon_Id	Pandanan_Id	96
Ambassis_buruensis	Abu	Contemporary	Contemporary	Pasacao	Pasacao	96
Ambassis_buruensis	Abu	Albatross	Albatross	Ragay_River	Ragay_River	37
Ambassis_urotaenia	Aur	Albatross	Albatross	Canmahala_Bay	Ragay_Gulf	49
Ambassis_urotaenia	Aur	Albatross	Albatross	Island_off_Panabutan_Point	Panabutan_Bay	62
Ambassis_urotaenia	Aur	Contemporary	Contemporary	Jamilo_Cove	Hamilo_Cove	96
Ambassis_urotaenia	Aur	Contemporary	Contemporary	Pasacao	Pasacao	50
Ambassis_urotaenia	Aur	Albatross	Albatross	Port_San_Vicente	Port_San_Vicente	69
Ambassis_urotaenia	Aur	Albatross	Albatross	Santiago_River	Santiago_River	42
Ambassis_urotaenia	Aur	Contemporary	Contemporary	Sorsogon_Bay	Ragay_Gulf	116
Ambassis_vaivasensis	NA	Albatross	Albatross	Camp_Overton	Camp_Overton	36
Ambassis_vaivasensis	NA	Albatross	Albatross	Hinunangan_Bay	Hinunangan	64
Ambassis_vaivasensis	NA	Albatross	Albatross	Puerta_Princesa	Puerto_Princessa	32
Atherinomorus duodecimalis	NA	Albatross	Albatross	Mantaguin_Bay	NA	96
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Bais_Bay_Anchorage	Guijulugan_Beach	11
Atherinomorus_duodecimalis	NA	Contemporary	Contemporary	Bongao_Channel	Bongao_Channel	96
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Dos_Amigos_Bay	Dos_Amigos_Bay	50
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Guijulugan_Beach	Guijulugan_Beach	38
Atherinomorus_duodecimalis	NA	Contemporary	Contemporary	Guijulugan_Beach	Guijulugan_Beach	96
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Jamelo_Cove	Hamilo_Cove	123
Atherinomorus_duodecimalis	NA	Contemporary	Contemporary	Jamelo_Cove	Hamilo_Cove	96
Atherinomorus_duodecimalis	NA	Contemporary	Contemporary	Malampaya, Palawan	NA	96
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Malcochin_Harbor	Malcochin_Harbor	16
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Matnog_Bay	Matnog_Bay	156
Atherinomorus_duodecimalis	NA	Contemporary	Contemporary	Matnog_Bay	Matnog_Bay	96
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Olongapo	Olongapo	68
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Port_Caltom	Port_Caltom	23
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Port_Galera	Puerto_Galera	24
Atherinomorus_duodecimalis	NA	Contemporary	Contemporary	Subic_City_Municipal_Fish_Port	Subic_City_Municipal_Fish_Port	96
Atherinomorus_duodecimalis	NA	Contemporary	Contemporary	Tagbilaran	Tagbilaran	96
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Tagbilaran_Channel	Tagbilaran_Channel	40
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Tataan_Pass_Anchorage	Tataan_Pass_Anchorage	25
Atherinomorus_duodecimalis	NA	Contemporary	Contemporary	Varadero_Bay	Puerto_Galera	98
Atherinomorus_duodecimalis	NA	NA	Contemporary	NA	NA	96
Atherinomorus_duodecimalis/A. endrac?	NA	Albatross	Albatross	Varadero_Bay	Puerto_Galera	41
Atherinomorus_endrachtensis	Aen	Albatross	Albatross	Jamelo_Cove	Hamilo_Cove	60
Atherinomorus_endrachtensis	Aen	Albatross	Albatross	Malcochin_Harbor	Malcochin_Harbor	7
Atherinomorus_endrachtensis	Aen	Albatross	Albatross	Port_Caltom	Port_Caltom	1
Atherinomorus_endrachtensis	Aen	Albatross	Albatross	Port_Matalvi_reef	Port_Matalvi_reef_Masinloc	3
Atherinomorus_endrachtensis	Aen	NA	Contemporary	NA	Batangas_Bay	96
Atherinomorus_endractensis	NA	Albatross	Albatross	Matnog_Bay	Matnog_Bay	5
Chromis_viridis	Cvi	Contemporary	Contemporary	Biri, Northern Samar	NA	96
Chromis_viridis	Cvi	Albatross	Albatross	Port_Palapag	NA	41
Corycoichthys_haematopterus	NA	Albatross	Albatross	Mactan_Id	Pandanon_Id	7
Corycoichthys_haematopterus	NA	Albatross	Albatross	Pandanon_Id	Pandanon_Id	33
Corythoichthys_haematopterus	NA	Contemporary	Contemporary	Pandanon_Id	Pandanon_Island	172
Dascyllus_aruanus	NA	Albatross	Albartoss	Jolo_Island	NA	21
Dascyllus_aruanus	NA	Contemporary	Contemporary	Jolo_Island	Jolo_Island	8
Dascyllus_aruanus	NA	Contemporary	NA	Jolo_Island	NA	176
Dipterygonotus_balteatus	Dba	Contemporary	Contemporary	Kalibo_Public_Market	Kalibo_Public_Market	30
Dipterygonotus_balteatus	Dba	Albatross	Albatross	Varadero_Bay	Puerto_Galera	4
Encrasicholina_pseudoheteroloba	Eps	Contemporary	Contemporary	Bais_Bay	Bais_Bay	96
Encrasicholina_pseudoheteroloba	Eps	Albatross	Albatross	Bais_Bay_Anchorage	Bais_Bay	100
Equulites_leuciscus	Lle	Contemporary	Contemporary	Nasugbu	Nasugbu	20
Gazza_minuta	Gmi	Albatross	Albatross	Basud_River	Basud_River	61
Gazza_minuta	Gmi	Albatross	Albatross	Jamelo_Cove	Hamilo_Cove	96
Gazza_minuta	Gmi	Contemporary	Albatross	Jamelo_Cove	Nasugbu	96
Gazza_minuta	Gmi	Contemporary	Contemporary	Mercedes_Fishing_Port	Mercedes_Fish_Landing	35
Gazza_minuta	Gmi	Contemporary	Contemporary	Vinzons_Public_Market	Vinzons_Public_Market	61
Gerres oyena	NA	Contemporary	Contemporary	Sitio_Agbuyog	NA	192
Gerres oyena	NA	NA	Albatross	NA	NA	67
Gerres_macracanthus	Gma	Albatross	Albatross	Catbalogan	NA	34
Gerres_macracanthus	Gma	Contemporary	NA	Catbalogan	NA	96
Gerres_macracanthus	Gma	Contemporary	Contemporary	Liboro_Market	Liboro_Market	1
Gerres_macracanthus	Gma	Contemporary	Contemporary	Pasacao	Pasacao	16
Gerres_macracanthus	Gma	Contemporary	Contemporary	Ragay	Ragay	16
Gerres_macracanthus	Gma	Contemporary	NA	Ragay	NA	43
Gerres_macracanthus	Gma	Albatross	Albatross	Ragay_River	NA	66
Gerres_oyena	Goy	Albatross	Albatross	Mantacao_Id	Mantacao_Id	13
Gerres_oyena	Goy	Albatross	Albatross	Pandanon_Id	Pandanon_Id	54
Gerres_oyena	Goy	Contemporary	Contemporary	Pandanon_Id	Pandanon_Id	96
Gerres_oyena	Goy	Contemporary	Contemporary	Pasacao	Pasacao	96
Gerres_oyena	Goy	Contemporary	Contemporary	Ragay	NA	45
Gerres_oyena	Goy	Albatross	Albatross	Ragay_River	Ragay_River	32
Gerres_oyena	Goy	Albatross	Albatross	Romblon_Harbor	Romblon_Harbor	19
Glossogobius_giuris	Ggi	Albatross	Albatross	Abuyog	Bito_River	4
Halichoeres_miniatus	Hmi	Albatross	Albatross	Basud_River	Basud_River	47
Halichoeres_miniatus	Hmi	Contemporary	Contemporary	Basud_River	Basud_River	48
Halichoeres_miniatus	Hmi	Albatross	Albatross	Maculabo_Id	Maculabo_Id.	52
Halichoeres_miniatus	Hmi	Contemporary	Contemporary	Paracale_Pulangdaga_Beach	Paracale	48
Herklotsichithys_quadrimaculatus	NA	Contemporary	Contemporary	Masinloc_Public_Market	Mansiloc_Public_Market	37
Herklotsichthys_quadrimaculatus	Hqu	Albatross	Albatross	Nasugbu	Nasugbu	33
Herklotsichthys_quadrimaculatus	Hqu	Albatross	Albatross	Port_Matalvi_reef	Port_Matalvi	59
Herklotsichthys_quadrimaculatus	Hqu	NA	Contemporary	NA	Nasugbu	55
Hypoatherina	NA	Albatross	Albatross	Matnog_Bay	Matnog_Bay	11
Hypoatherina_panatela	NA	Albatross	Albatross	Port_San_Miguel	Ticao_Pass	93
Hypoatherina_temminckii	Hte	Contemporary	Albatross	Bulan - Ticao_Pass	Ticao_Pass	112
Hypoatherina_temminckii	Hte	Contemporary	Contemporary	Hamilo_Cove	Hamilo_Cove	96
Hypoatherina_temminckii	Hte	Albatross	Albatross	Jolo_Island	Jolo	96
Hypoatherina_temminckii	Hte	Contemporary	Contemporary	Masinloc_Public_Market	Mansiloc_Public_Market	100
Hypoatherina_temminckii	Hte	Albatross	Albatross	Matnog_Bay	Matnog_Bay	4
Hypoatherina_temminckii	Hte	Albatross	Albatross	Pandanon_Id	Pandanon_Id	32
Hypoatherina_temminckii	Hte	Contemporary	Contemporary	Pandanon_Id	Pandanon_Id	96
Hypoatherina_temminckii	Hte	Albatross	Albatross	Port_Busin	Port_Busin	96
Hypoatherina_temminckii	Hte	Contemporary	Contemporary	Port_Busin	Port_Busin	96
Hypoatherina_temminckii	Hte	Albatross	Albatross	Port_Galera	Puerto_Galera	132
Hypoatherina_temminckii	Hte	Albatross	Albatross	Port_Matalvi_reef	Port_Matalvi_reef	14
Hypoatherina_temminckii	Hte	Albatross	Albatross	Port_Matalvi_reef	Port_Matalvi_reef_Masinloc	47
Hypoatherina_temminckii	Hte	Albatross	Albatross	Port_San_Miguel	Ticao_Pass	3
Hypoatherina_temminckii	Hte	Contemporary	Contemporary	Tataan_Pass	Tataan_Pass	96
Hypoatherina_temminckii	Hte	Albatross	Albatross	Tataan_Pass_Anchorage	Tataan_Pass	78
Hypoatherina_temminckii	Hte	NA	Contemporary	NA	Jolo_Island	96
Leiognathus_equula	Leq	Albatross	Albatross	Basud_River	Basud_River	59
