species_valid_name	species_code	collection_period	collection_era	collection_site_individuals	collection_site_lot	site_id	match_id	num_records
Siganus_spinus	Ssp	Albatross	Albatross	Atulayan_Bay	Atulayan_Bay	Atu	AtuB	48
Encrasicholina_pseudoheteroloba	Eps	Albatross	Albatross	Bais_Bay	Bais_Bay_Anchorage	Bai	Bais	100
Encrasicholina_pseudoheteroloba	Eps	Contemporary	Contemporary	Bais_Bay	Bais_Bay	Bai	Bais	100
Siganus_fuscescens	Sfu	Albatross	Albatross	Bais_Bay	Bais_Bay_Anchorage	Bai	Bais	117
Siganus_fuscescens	Sfu	Contemporary	Contemporary	Bais_Bay	Bais_Bay	Bai	Bais	104
Chromis_viridis	Cvi	Albatross	Albatross	NA	Port_Palapag	Pal	Bali	40
Pomacentrus_brachialis	Pba	Contemporary	Contemporary	NA	Biri, Northern Samar	Cab	Bali	31
Pomacentrus_brachialis	Pba	Contemporary	Contemporary	NA	Cabacungan,_Allen,_Northern_Samar	Cab	Bali	66
Pomacentrus_brachialis	Pba	NA	Albatross	NA	Port_Palapag	Pal	Bali	10
Sphaeramia_nematoptera	NA	Albatross	Albatross	Biri_Channel	Biri_Channel	Bir	Bali	28
Sphaeramia_nematoptera	NA	Contemporary	Contemporary	NA	Biri, Northern Samar	Cab	Bali	81
Sphaeramia_nematoptera	NA	Contemporary	Contemporary	NA	Cabacungan,_Allen,_Northern_Samar	Cab	Bali	15
Spratelloides_delicatulus	Sde	Contemporary	Contemporary	Lamitan_Fish_Market,_Basilan	Lamitan_Fish_Market,_Basilan	Ban	Basi	36
Spratelloides_delicatulus	Sde	Albatross	Albatross	Sacol_Island, Tawi-Tawi_North	Sacol_Island_(tawi_tawi_north)	Sac	Basi	96
Gazza_minuta	Gmi	Albatross	Albatross	Basud_River	Basud_River	Bas	Basu	61
Gazza_minuta	Gmi	Contemporary	Contemporary	Mercedes_Fish_Landing	Mercedes_Fishing_Port	Bas	Basu	35
Gazza_minuta	Gmi	Contemporary	Contemporary	Vinzons_Public_Market	Vinzons_Public_Market	Vin	Basu	61
Salarias_fasciatus	Sfa	Albatross	Albatross	Basud_River	Basud_River	Bas	Basu	36
Salarias_fasciatus	Sfa	Contemporary	Contemporary	Manguisoc	Mercedes_Manguisoc	Bas	Basu	96
Sphyraena_obtusata	Sob	Albatross	Albatross	Bilan_Bilan,_Surigao	Surigao	Bil	Bila	52
Glossogobius_giuris	Ggi	Albatross	Albatross	Bito_River	Abuyog	Bit	Bito	4
Taeniamia zosterophora	NA	Albatross	Albatross	Mantatao_Id	Mantatao_Id	Mta	Boho	32
Taeniamia_zosterophora	Tzo	Contemporary	Contemporary	Mantatao_Id	Mantatao_Id	Mta	Boho	96
Pomacentrus_brachialis	Pba	Contemporary	Contemporary	NA	Port_Busin	Mas	Buri	25
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Port_Caltom	Port_Caltom	Bus	Busu	23
Atherinomorus_endrachtensis	Aen	Albatross	Albatross	Port_Caltom	Port_Caltom	Bus	Busu	1
Ambassis_urotaenia	Aur	Contemporary	Contemporary	Ragay_Gulf	Sorsogon_Bay	Rag	CanB	96
Hypoatherina_temminckii	Hte	Albatross	Albatross	Port_Busin	Port_Busin	Bur	CanB	96
Hypoatherina_temminckii	Hte	Contemporary	Contemporary	Port_Busin	Port_Busin	Bur	CanB	96
Ostorhinchus_chrysopomus	Och	Contemporary	Contemporary	NA	Port_Busin	Bur	CanB	96
Ostorhinchus_chrysopomus	Och	NA	Albatross	Canmahala_Bay	Canmahala_Bay	Can	CanB	24
Sphaeramia_orbicularis	NA	Albatross	Albatross	Port_Busin	Port_Busin	Bur	CanB	16
Sphaeramia_orbicularis	NA	Contemporary	Contemporary	Port_Busin	Port_Busin	Bur	CanB	96
Sphaeramia_orbicularis	NA	Albatross	Albatross	Canmahala_Bay	Canmahala_Bay	Can	CanB	55
Sphaeramia_orbicularis	NA	Albatross	Albatross	Ragay_Gulf	Canmahala_Bay	Can	CanB	4
Gerres_macracanthus	Gma	Albatross	Albatross	NA	Catbalogan	Cat	Catb	34
Gerres_macracanthus	Gma	NA	Contemporary	NA	Catbalogan	Cat	Catb	96
Ostorhinchus_chrysopomus	Och	Albatross	Albatross	Catbalogan	Catbalogan	Cat	Catb	41
Ostorhinchus_chrysopomus	Och	Contemporary	Contemporary	NA	Catbalogan	Cat	Catb	102
Halichoeres_miniatus	Hmi	Albatross	Albatross	Basud_River	Basud_River	Bas	Daet	47
Halichoeres_miniatus	Hmi	Contemporary	Contemporary	Basud_River	Basud_River	Bas	Daet	48
Halichoeres_miniatus	Hmi	Albatross	Albatross	Maculabo_Id.	Maculabo_Id	Mac	Daet	52
Halichoeres_miniatus	Hmi	Contemporary	Contemporary	Paracale	Paracale_Pulangdaga_Beach	Par	Daet	48
Spratelloides_delicatulus	Sde	NA	Albatross	NA	Inamucan_Bay	Ina	Dapi	64
Ambassis_buruensis	Abu	Albatross	Albatross	Port_Dupon	Dupon_Bay	Dup	Dupo	42
Zenarchopterus_dispar	NA	Albatross	Albatross	Dupon_Bay	Dupon_Bay	Dup	Dupo	47
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Guijulugan_Beach	Bais_Bay_Anchorage	Bai	Guij	11
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Guijulugan_Beach	Guijulugan_Beach	Gui	Guij	38
Atherinomorus_duodecimalis	NA	Contemporary	Contemporary	Guijulugan_Beach	Guijulugan_Beach	Gui	Guij	96
Spratelloides_delicatulus	Sde	Albatross	Albatross	Guijulugan_Beach	Guijulugan_Beach	Gui	Guij	35
Spratelloides_delicatulus	Sde	Contemporary	Contemporary	Vallehermoso	Vallehermoso	Val	Guij	96
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Hamilo_Cove	Jamelo_Cove	Ham	HamC	96
Atherinomorus_duodecimalis	NA	Contemporary	Contemporary	Hamilo_Cove	Jamelo_Cove	Ham	HamC	96
Atherinomorus_endrachtensis	Aen	Albatross	Albatross	Hamilo_Cove	Jamelo_Cove	Ham	HamC	60
Equulites_leuciscus	Lle	Albatross	Albatross	Hamilo_Cove	Jamelo_Cove	Ham	HamC	32
Equulites_leuciscus	Lle	Contemporary	Contemporary	Nasugbu	Nasugbu	Nas	HamC	96
Gazza_minuta	Gmi	Albatross	Contemporary	Nasugbu	Jamelo_Cove	Bat	HamC	96
Gazza_minuta	Gmi	Albatross	Albatross	Hamilo_Cove	Jamelo_Cove	Ham	HamC	96
Ambassis_vaivasensis	NA	Albatross	Albatross	Hinunangan	Hinunangan_Bay	Hin	Hinu	64
Dascyllus_aruanus	NA	Albartoss	Albatross	NA	Jolo_Island	Jol	Jolo	23
Dascyllus_aruanus	NA	Contemporary	Contemporary	Jolo_Island	Jolo_Island	Jol	Jolo	8
Dascyllus_aruanus	NA	NA	Contemporary	NA	Jolo_Island	Jol	Jolo	88
Hypoatherina_temminckii	Hte	Albatross	Albatross	Jolo	Jolo_Island	Jol	Jolo	96
Plotosis_lineatus	NA	NA	Albatross	NA	Tutu_Bay	Jol	Jolo	16
Plotosus lineatus	NA	Contemporary	Contemporary	NA	Jolo	Jol	Jolo	96
Spratelloides_delicatulus	Sde	Albatross	Albatross	Bulan_Island	Bulan_Island	Bul	Jolo	96
Spratelloides_delicatulus	Sde	Contemporary	Contemporary	Jolo	Panglima_Tahil,_Jolo	Jol	Jolo	96
Spratelloides_gracilis	Sgr	Albatross	Albatross	Tutu_Bay	Tutu_Bay	Jol	Jolo	96
